exchange	stock_symbol	date	dividends
NYSE	APX	8/13/2008	0.047
NYSE	APX	7/11/2008	0.047
NYSE	APX	6/12/2008	0.047
NYSE	APX	5/13/2008	0.047
NYSE	APX	4/11/2008	0.047
NYSE	APX	3/12/2008	0.047
NYSE	APX	2/13/2008	0.049
NYSE	APX	1/17/2008	0.049
NYSE	APX	12/12/2007	0.049
NYSE	APX	11/13/2007	0.049
NYSE	APX	10/11/2007	0.049
NYSE	APX	9/12/2007	0.049
NYSE	APX	8/13/2007	0.049
NYSE	APX	7/12/2007	0.049
NYSE	APX	6/13/2007	0.049
NYSE	APX	5/11/2007	0.049
NYSE	APX	4/12/2007	0.049
NYSE	APX	3/13/2007	0.049
NYSE	APX	2/13/2007	0.049
NYSE	APX	1/11/2007	0.049
NYSE	APX	12/13/2006	0.049
NYSE	APX	11/10/2006	0.049
NYSE	APX	10/12/2006	0.049
NYSE	APX	9/13/2006	0.049
NYSE	APX	8/10/2006	0.049
NYSE	APX	7/13/2006	0.049
NYSE	APX	6/9/2006	0.049
NYSE	APX	5/11/2006	0.049
NYSE	APX	4/12/2006	0.049
NYSE	APX	3/10/2006	0.049
NYSE	APX	2/10/2006	0.049
NYSE	APX	1/13/2006	0.049
NYSE	APX	12/13/2005	0.048
NYSE	APX	11/10/2005	0.048
NYSE	APX	10/13/2005	0.048
NYSE	APX	9/12/2005	0.048
NYSE	APX	8/11/2005	0.048
NYSE	APX	7/12/2005	0.048
NYSE	APX	6/10/2005	0.048
NYSE	APX	5/11/2005	0.048
NYSE	APX	4/13/2005	0.048
NYSE	APX	3/11/2005	0.048
NYSE	APX	2/11/2005	0.048
NYSE	APX	1/14/2005	0.048
NYSE	APX	12/13/2004	0.048
NYSE	APX	11/9/2004	0.048
NYSE	APX	10/13/2004	0.048
NYSE	APX	9/10/2004	0.048
NYSE	APX	8/12/2004	0.048
NYSE	APX	7/13/2004	0.048
NYSE	APX	6/10/2004	0.048
NYSE	APX	5/12/2004	0.048
NYSE	APX	4/14/2004	0.048
NYSE	APX	3/11/2004	0.048
NYSE	APX	2/11/2004	0.048
NYSE	APX	1/14/2004	0.047
NYSE	APX	12/15/2003	0.05
NYSE	APX	11/12/2003	0.047
NYSE	APX	10/15/2003	0.047
NYSE	APX	9/12/2003	0.047
NYSE	APX	8/13/2003	0.047
NYSE	APX	7/15/2003	0.047
NYSE	APX	6/12/2003	0.047
NYSE	APX	5/14/2003	0.047
NYSE	APX	4/14/2003	0.047
NYSE	APX	3/13/2003	0.047
NYSE	APX	2/12/2003	0.047
NYSE	APX	1/14/2003	0.047
NYSE	APX	12/11/2002	0.047
NYSE	APX	11/12/2002	0.047
NYSE	APX	10/16/2002	0.047
NYSE	APX	9/13/2002	0.044
NYSE	APX	8/15/2002	0.045
NYSE	APX	7/16/2002	0.044
NYSE	APX	6/13/2002	0.045
NYSE	APX	5/16/2002	0.047
NYSE	APX	4/15/2002	0.047
NYSE	APX	3/14/2002	0.047
NYSE	APX	2/13/2002	0.047
NYSE	APX	1/11/2002	0.047
NYSE	APX	12/18/2001	0.046
NYSE	APX	11/16/2001	0.046
NYSE	APX	10/12/2001	0.048
NYSE	APX	8/16/2001	0.049
NYSE	APX	7/13/2001	0.049
NYSE	APX	6/15/2001	0.052
NYSE	APX	5/14/2001	0.054
NYSE	APX	4/11/2001	0.05
NYSE	APX	3/15/2001	0.048
NYSE	APX	2/14/2001	0.048
NYSE	APX	1/11/2001	0.049
NYSE	APX	12/18/2000	0.048
NYSE	APX	11/16/2000	0.05
NYSE	APX	10/13/2000	0.049
NYSE	APX	9/14/2000	0.048
NYSE	APX	8/16/2000	0.049
NYSE	APX	7/13/2000	0.05
NYSE	APX	6/15/2000	0.052
NYSE	APX	5/12/2000	0.05
NYSE	APX	4/13/2000	0.052
NYSE	APX	3/15/2000	0.054
NYSE	APX	2/15/2000	0.058
NYSE	APX	1/13/2000	0.057
NYSE	APX	12/21/1999	0.059
NYSE	APX	11/18/1999	0.06
NYSE	APX	10/20/1999	0.058
NYSE	APX	9/20/1999	0.055
NYSE	APX	8/19/1999	0.056
NYSE	APX	7/21/1999	0.053
NYSE	APX	6/21/1999	0.055
NYSE	APX	5/19/1999	0.055
NYSE	APX	4/20/1999	0.052
NYSE	APX	3/22/1999	0.047
NYSE	APX	2/17/1999	0.053
NYSE	APX	1/20/1999	0.05
NYSE	APX	12/21/1998	0.05
NYSE	APX	11/18/1998	0.052
NYSE	APX	10/20/1998	0.051
NYSE	APX	9/18/1998	0.053
NYSE	APX	8/19/1998	0.055
NYSE	APX	7/21/1998	0.053
NYSE	APX	6/18/1998	0.055
NYSE	APX	5/19/1998	0.052
NYSE	APX	4/20/1998	0.055
NYSE	APX	3/19/1998	0.049
NYSE	APX	2/17/1998	0.055
NYSE	APX	1/20/1998	0.055
NYSE	APX	12/17/1997	0.053
NYSE	APX	11/13/1997	0.055
NYSE	APX	10/16/1997	0.053
NYSE	APX	9/16/1997	0.053
NYSE	APX	8/14/1997	0.053
NYSE	APX	7/17/1997	0.054
NYSE	APX	6/17/1997	0.055
NYSE	APX	5/15/1997	0.053
NYSE	APX	4/16/1997	0.055
NYSE	APX	3/18/1997	0.05
NYSE	APX	2/18/1997	0.055
NYSE	APX	1/17/1997	0.057
NYSE	APX	12/18/1996	0.055
NYSE	APX	11/14/1996	0.057
NYSE	APX	10/17/1996	0.055
NYSE	APX	9/13/1996	0.058
NYSE	APX	8/15/1996	0.057
NYSE	APX	7/18/1996	0.055
NYSE	APX	6/14/1996	0.055
NYSE	APX	5/17/1996	0.054
NYSE	APX	4/17/1996	0.053
NYSE	APX	3/15/1996	0.049
NYSE	APX	2/15/1996	0.052
NYSE	APX	1/17/1996	0.053
NYSE	APX	12/20/1995	0.052
NYSE	APX	11/21/1995	0.057
NYSE	APX	10/18/1995	0.056
NYSE	APX	9/20/1995	0.058
NYSE	APX	8/21/1995	0.058
NYSE	APX	7/19/1995	0.06
NYSE	APX	6/21/1995	0.062
NYSE	APX	5/15/1995	0.055
NYSE	APX	4/17/1995	0.058
NYSE	APX	3/20/1995	0.059
NYSE	APX	2/13/1995	0.058
NYSE	APX	1/13/1995	0.06
NYSE	APX	12/13/1994	0.058
NYSE	APX	11/14/1994	0.06
NYSE	APX	10/12/1994	0.059
NYSE	APX	9/13/1994	0.061
NYSE	APX	8/15/1994	0.062
NYSE	APX	7/12/1994	0.06
NYSE	APX	6/14/1994	0.062
NYSE	APX	5/11/1994	0.061
NYSE	APX	4/12/1994	0.061
NYSE	APX	3/15/1994	0.06
NYSE	APX	2/9/1994	0.065
NYSE	APX	1/11/1994	0.063
NYSE	APX	12/14/1993	0.06
NYSE	APX	11/12/1993	0.064
NYSE	APX	10/12/1993	0.061
NYSE	APX	9/14/1993	0.064
NYSE	APX	8/16/1993	0.064
NYSE	APX	7/13/1993	0.064
NYSE	APX	6/14/1993	0.068
NYSE	APX	5/12/1993	0.069
NYSE	APX	4/13/1993	0.07
NYSE	APX	3/15/1993	0.07
NYSE	APX	2/9/1993	0.067
NYSE	APX	1/12/1993	0.074
NYSE	APX	12/14/1992	0.069
NYSE	APX	11/9/1992	0.07
NYSE	APX	10/9/1992	0.067
NYSE	APX	9/14/1992	0.069
NYSE	APX	8/11/1992	0.07
NYSE	APX	7/13/1992	0.073
NYSE	APX	6/12/1992	0.075
